,title,rating,director,year,runtime,age rating,image link,webpage
97,Ikiru,8.3,Akira Kurosawa,1952,2h 23m,A,images\Ikiru.jpg,http://www.imdb.com/title/tt0044741/
98,North by Northwest,8.3,Alfred Hitchcock,1959,2h 16m,A,images\NorthbyNorthwest.jpg,http://www.imdb.com/title/tt0053125/
99,The Apartment,8.3,Billy Wilder,1960,2h 5m,A,images\TheApartment.jpg,http://www.imdb.com/title/tt0053604/
100,Vertigo,8.3,Alfred Hitchcock,1958,2h 8m,A,images\Vertigo.jpg,http://www.imdb.com/title/tt0052357/
101,Amélie,8.3,Jean-Pierre Jeunet,2001,2h 2m,15,images\Amélie.jpg,http://www.imdb.com/title/tt0211915/
102,Double Indemnity,8.3,Billy Wilder,1944,1h 47m,A,images\DoubleIndemnity.jpg,http://www.imdb.com/title/tt0036775/
103,A Clockwork Orange,8.3,Stanley Kubrick,1971,2h 16m,X,images\AClockworkOrange.jpg,http://www.imdb.com/title/tt0066921/
104,Full Metal Jacket,8.3,Stanley Kubrick,1987,1h 56m,18,images\FullMetalJacket.jpg,http://www.imdb.com/title/tt0093058/
105,Scarface,8.3,Brian De Palma,1983,2h 50m,18,images\Scarface.jpg,http://www.imdb.com/title/tt0086250/
106,Incendies,8.3,Denis Villeneuve,2010,2h 11m,15,images\Incendies.jpg,http://www.imdb.com/title/tt1255953/
107,Heat,8.3,Michael Mann,1995,2h 50m,15,images\Heat.jpg,http://www.imdb.com/title/tt0113277/
108,Hamilton,8.3,Thomas Kail,2020,2h 40m,12,images\Hamilton.jpg,http://www.imdb.com/title/tt8503618/
109,Up,8.3,Pete DocterBob Peterson,2009,1h 36m,U,images\Up.jpg,http://www.imdb.com/title/tt1049413/
110,To Kill a Mockingbird,8.3,Robert Mulligan,1962,2h 9m,A,images\ToKillaMockingbird.jpg,http://www.imdb.com/title/tt0056592/
111,The Sting,8.3,George Roy Hill,1973,2h 9m,A,images\TheSting.jpg,http://www.imdb.com/title/tt0070735/
112,A Separation,8.3,Asghar Farhadi,2011,2h 3m,PG,images\ASeparation.jpg,http://www.imdb.com/title/tt1832382/
113,Metropolis,8.3,Fritz Lang,1927,2h 33m,A,images\Metropolis.jpg,http://www.imdb.com/title/tt0017136/
114,Die Hard,8.2,John McTiernan,1988,2h 12m,18,images\DieHard.jpg,http://www.imdb.com/title/tt0095016/
115,L.A. Confidential,8.2,Curtis Hanson,1997,2h 18m,18,images\LAConfidential.jpg,http://www.imdb.com/title/tt0119488/
116,Indiana Jones and the Last Crusade,8.2,Steven Spielberg,1989,2h 7m,PG,images\IndianaJonesandtheLastCrusade.jpg,http://www.imdb.com/title/tt0097576/
117,Taxi Driver,8.2,Martin Scorsese,1976,1h 54m,X,images\TaxiDriver.jpg,http://www.imdb.com/title/tt0075314/
118,Snatch,8.2,Guy Ritchie,2000,1h 44m,18,images\Snatch.jpg,http://www.imdb.com/title/tt0208092/
119,Bicycle Thieves,8.3,Vittorio De Sica,1948,1h 29m,U,images\BicycleThieves.jpg,http://www.imdb.com/title/tt0040522/
120,Like Stars on Earth,8.3,Aamir KhanAmole Gupte,2007,2h 45m,PG,images\LikeStarsonEarth.jpg,http://www.imdb.com/title/tt0986264/
121,1917,8.2,Sam Mendes,2019,1h 59m,15,images\1917.jpg,http://www.imdb.com/title/tt8579674/
122,Top Gun: Maverick,8.3,Joseph Kosinski,2022,2h 10m,12A,images\TopGunMaverick.jpg,http://www.imdb.com/title/tt1745960/
123,Downfall,8.2,Oliver Hirschbiegel,2004,2h 36m,15,images\Downfall.jpg,http://www.imdb.com/title/tt0363163/
124,Dangal,8.3,Nitesh Tiwari,2016,2h 41m,PG,images\Dangal.jpg,http://www.imdb.com/title/tt5074352/
125,For a Few Dollars More,8.2,Sergio Leone,1965,2h 12m,X,images\ForaFewDollarsMore.jpg,http://www.imdb.com/title/tt0059578/
126,Batman Begins,8.2,Christopher Nolan,2005,2h 20m,12A,images\BatmanBegins.jpg,http://www.imdb.com/title/tt0372784/
127,The Kid,8.3,Charles Chaplin,1921,1h 8m,U,images\TheKid.jpg,http://www.imdb.com/title/tt0012349/
128,Some Like It Hot,8.2,Billy Wilder,1959,2h 1m,A,images\SomeLikeItHot.jpg,http://www.imdb.com/title/tt0053291/
129,The Father,8.2,Florian Zeller,2020,1h 37m,12A,images\TheFather.jpg,http://www.imdb.com/title/tt10272386/
130,The Wolf of Wall Street,8.2,Martin Scorsese,2013,3h,18,images\TheWolfofWallStreet.jpg,http://www.imdb.com/title/tt0993846/
131,All About Eve,8.2,Joseph L. Mankiewicz,1950,2h 18m,A,images\AllAboutEve.jpg,http://www.imdb.com/title/tt0042192/
132,Green Book,8.2,Peter Farrelly,2018,2h 10m,12A,images\GreenBook.jpg,http://www.imdb.com/title/tt6966692/
133,Judgment at Nuremberg,8.3,Stanley Kramer,1961,2h 59m,A,images\JudgmentatNuremberg.jpg,http://www.imdb.com/title/tt0055031/
134,Ran,8.2,Akira Kurosawa,1985,2h 42m,15,images\Ran.jpg,http://www.imdb.com/title/tt0089881/
135,Casino,8.2,Martin Scorsese,1995,2h 58m,18,images\Casino.jpg,http://www.imdb.com/title/tt0112641/
136,The Truman Show,8.2,Peter Weir,1998,1h 43m,PG,images\TheTrumanShow.jpg,http://www.imdb.com/title/tt0120382/
137,There Will Be Blood,8.2,Paul Thomas Anderson,2007,2h 38m,12A,images\ThereWillBeBlood.jpg,http://www.imdb.com/title/tt0469494/
138,Pan's Labyrinth,8.2,Guillermo del Toro,2006,1h 58m,15,images\PansLabyrinth.jpg,http://www.imdb.com/title/tt0457430/
139,Unforgiven,8.2,Clint Eastwood,1992,2h 10m,15,images\Unforgiven.jpg,http://www.imdb.com/title/tt0105695/
140,Shutter Island,8.2,Martin Scorsese,2010,2h 18m,15,images\ShutterIsland.jpg,http://www.imdb.com/title/tt1130884/
141,The Sixth Sense,8.2,M. Night Shyamalan,1999,1h 47m,15,images\TheSixthSense.jpg,http://www.imdb.com/title/tt0167404/
142,Jurassic Park,8.2,Steven Spielberg,1993,2h 7m,PG,images\JurassicPark.jpg,http://www.imdb.com/title/tt0107290/
143,A Beautiful Mind,8.2,Ron Howard,2001,2h 15m,12,images\ABeautifulMind.jpg,http://www.imdb.com/title/tt0268978/
144,Yojimbo,8.2,Akira Kurosawa,1961,1h 50m,A,images\Yojimbo.jpg,http://www.imdb.com/title/tt0055630/
145,The Treasure of the Sierra Madre,8.2,John Huston,1948,2h 6m,A,images\TheTreasureoftheSierraMadre.jpg,http://www.imdb.com/title/tt0040897/
146,Monty Python and the Holy Grail,8.2,Terry GilliamTerry Jones,1975,1h 31m,12A,images\MontyPythonandtheHolyGrail.jpg,http://www.imdb.com/title/tt0071853/
147,No Country for Old Men,8.2,Ethan CoenJoel Coen,2007,2h 2m,15,images\NoCountryforOldMen.jpg,http://www.imdb.com/title/tt0477348/
